ogfg_idx,ogfg_sg,ogfg_alc
1,0.985,-2.6
2,0.986,-2.3
3,0.987,-2.1
4,0.988,-1.8
5,0.989,-1.6
6,0.990,-1.3
7,0.991,-1.2
8,0.992,-1.1
9,0.993,-0.9
10,0.994,-0.8
11,0.995,-0.7
12,0.996,-0.6
13,0.997,-0.4
14,0.998,-0.3
15,0.999,-0.1
16,1.000,0
17,1.001,0.1
18,1.002,0.2
19,1.003,0.4
20,1.004,0.5
21,1.005,0.6
22,1.006,0.7
23,1.007,0.9
24,1.008,1
25,1.009,1.2
26,1.010,1.3
27,1.011,1.4
28,1.012,1.5
29,1.013,1.7
30,1.014,1.8
31,1.015,1.9
32,1.016,2
33,1.017,2.2
34,1.018,2.3
35,1.019,2.5
36,1.020,2.6
37,1.021,2.7
38,1.022,2.8
39,1.023,3
40,1.024,3.1
41,1.025,3.2
42,1.026,3.3
43,1.027,3.5
44,1.028,3.6
45,1.029,3.8
46,1.030,3.9
47,1.031,4
48,1.032,4.1
49,1.033,4.3
50,1.034,4.4
51,1.035,4.5
52,1.036,4.7
53,1.037,4.8
54,1.038,5
55,1.039,5.1
56,1.040,5.3
57,1.041,5.4
58,1.042,5.5
59,1.043,5.6
60,1.044,5.7
61,1.045,5.8
62,1.046,5.9
63,1.047,6
64,1.048,6.2
65,1.049,6.3
66,1.050,6.4
67,1.051,6.6
68,1.052,6.8
69,1.053,6.9
70,1.054,7.1
71,1.055,7.3
72,1.056,7.4
73,1.057,7.5
74,1.058,7.6
75,1.059,7.7
76,1.060,7.8
77,1.061,8
78,1.062,8.1
79,1.063,8.3
80,1.064,8.4
81,1.065,8.6
82,1.066,8.7
83,1.067,8.9
84,1.068,9
85,1.069,9.2
86,1.070,9.3
87,1.071,9.4
88,1.072,9.5
89,1.073,9.7
90,1.074,9.8
91,1.075,9.9
92,1.076,10
93,1.077,10.1
94,1.078,10.3
95,1.079,10.4
96,1.080,10.5
97,1.081,10.7
98,1.082,10.8
99,1.083,11
100,1.084,11.1
101,1.085,11.3
102,1.086,11.4
103,1.087,11.5
104,1.088,11.6
105,1.089,11.7
106,1.090,11.8
107,1.091,12
108,1.092,12.1
109,1.093,12.3
110,1.094,12.4
111,1.095,12.6
112,1.096,12.7
113,1.097,12.8
114,1.098,13
115,1.099,13.1
116,1.100,13.2
117,1.101,13.3
118,1.102,13.5
119,1.103,13.6
120,1.104,13.8
121,1.105,13.9
122,1.106,14
123,1.107,14.1
124,1.108,14.1
125,1.109,14.2
126,1.110,14.3
127,1.111,14.4
128,1.112,14.5
129,1.113,14.5
130,1.114,14.6
131,1.115,14.7
132,1.116,15
133,1.117,15.2
134,1.118,15.5
135,1.119,15.7
136,1.120,16
137,1.121,16.1
138,1.122,16.2
139,1.123,16.4
140,1.124,16.5
141,1.125,16.6
142,1.126,16.7
143,1.127,16.9
144,1.128,17
145,1.129,17.2
146,1.130,17.3
147,1.131,17.4
148,1.132,17.5
149,1.133,17.7
150,1.134,17.8
151,1.135,17.9
152,1.136,18
153,1.137,18.2
154,1.138,18.3
155,1.139,18.5
156,1.140,18.6
